0100104P5Thumiliating.mov,humiliating,unfriendly,negative
0100104P6Thumiliating.mov,humiliating,unfriendly,negative
0100104R5Thumiliating.mov,humiliating,unfriendly,negative
0100104R6Thumiliating.mov,humiliating,unfriendly,negative
0100104U6Thumiliating.mov,humiliating,unfriendly,negative
0100104Z5Thumiliating.mov,humiliating,unfriendly,negative
0100203P3Tdetesting.mov,detesting,unfriendly,negative
0100203P5Tdetesting.mov,detesting,unfriendly,negative
0100203P6Tdetesting.mov,detesting,unfriendly,negative
0100203R5Tdetesting.mov,detesting,unfriendly,negative
0100203R6Tdetesting.mov,detesting,unfriendly,negative
0100203Z6Tdetesting.mov,detesting,unfriendly,negative
0100502P6Tblaming.mov,blaming,unfriendly,negative
0100502R1Tblaming.mov,blaming,unfriendly,negative
0100502R2Tblaming.mov,blaming,unfriendly,negative
0100502U6Tblaming.mov,blaming,unfriendly,negative
0100502V6Tblaming.mov,blaming,unfriendly,negative
0100502Z5Tblaming.mov,blaming,unfriendly,negative
0100809P6Tscolding.mov,scolding,unfriendly,negative
0100809R5Tscolding.mov,scolding,unfriendly,negative
0100809R6Tscolding.mov,scolding,unfriendly,negative
0100809U5Tscolding.mov,scolding,unfriendly,negative
0100809U6Tscolding.mov,scolding,unfriendly,negative
0100809V5Tscolding.mov,scolding,unfriendly,negative
0101001P5Taggressive.mov,aggressive,unfriendly,negative
0101001P6Taggressive.mov,aggressive,unfriendly,negative
0101001R5Taggressive.mov,aggressive,unfriendly,negative
0101001R6Taggressive.mov,aggressive,unfriendly,negative
0101001U5Taggressive.mov,aggressive,unfriendly,negative
0101001Z6Taggressive.mov,aggressive,unfriendly,negative
0101103P5Tremote.mov,remote,unfriendly,negative
0101103P6Tremote.mov,remote,unfriendly,negative
0101103R6Tremote.mov,remote,unfriendly,negative
0101103U5Tremote.mov,remote,unfriendly,negative
0101103U6Tremote.mov,remote,unfriendly,negative
0101103Z5Tremote.mov,remote,unfriendly,negative
0101201P3Tanimosity.mov,animosity,unfriendly,negative
0101201P6Tanimosity.mov,animosity,unfriendly,negative
0101201R6Tanimosity.mov,animosity,unfriendly,negative
0101201U5Tanimosity.mov,animosity,unfriendly,negative
0101201U6Tanimosity.mov,animosity,unfriendly,negative
0101201Z6Tanimosity.mov,animosity,unfriendly,negative
0101702P5Tresentful.mov,resentful,unfriendly,negative
0101702P6Tresentful.mov,resentful,unfriendly,negative
0101702R5Tresentful.mov,resentful,unfriendly,negative
0101702R6Tresentful.mov,resentful,unfriendly,negative
0101702U6Tresentful.mov,resentful,unfriendly,negative
0101702Z5Tresentful.mov,resentful,unfriendly,negative
0101801P3Tbelittling.mov,belittling,unfriendly,negative
0101801P5Tbelittling.mov,belittling,unfriendly,negative
0101801P6Tbelittling.mov,belittling,unfriendly,negative
0101801R5Tbelittling.mov,belittling,unfriendly,negative
0101801R6Tbelittling.mov,belittling,unfriendly,negative
0101801Z6Tbelittling.mov,belittling,unfriendly,negative
0102301P5Tbrazen.mov,brazen,unfriendly,negative
0102301P6Tbrazen.mov,brazen,unfriendly,negative
0102301R5Tbrazen.mov,brazen,unfriendly,negative
0102301R6Tbrazen.mov,brazen,unfriendly,negative
0102301U5Tbrazen.mov,brazen,unfriendly,negative
0102301Z5Tbrazen.mov,brazen,unfriendly,negative
0102402P6Tcruel.mov,cruel,unfriendly,negative
0102402R1Tcruel.mov,cruel,unfriendly,negative
0102402R2Tcruel.mov,cruel,unfriendly,negative
0102402R5Tcruel.mov,cruel,unfriendly,negative
0102402U5Tcruel.mov,cruel,unfriendly,negative
0102402Z6Tcruel.mov,cruel,unfriendly,negative
0102501P3Tbullying.mov,bullying,unfriendly,negative
0102501P5Tbullying.mov,bullying,unfriendly,negative
0102501R1Tbullying.mov,bullying,unfriendly,negative
0102501R2Tbullying.mov,bullying,unfriendly,negative
